name,type,focal_length,left_margin,right_margin,in_roc,out_roc,thickness,refractive_index
LBX20,thick,0.020577731587795297,0.0,0.0,0.019248,-0.019248,0.0088,1.506634801642448
LBX25,thick,0.02530676319634065,0.0,0.0,0.024406000000000004,-0.024406000000000004,0.007,1.506634801642448
LBX50,thick,0.05240234698252005,0.0,0.0,0.05233,-0.05233,0.0045000000000000005,1.506634801642448
LBX80,thick,0.0830269117348559,0.0,0.0,0.083536,-0.083536,0.0035,1.506634801642448
LBX100,thick,0.10362672104531934,0.0,0.0,0.10441,-0.10441,0.0035,1.506634801642448
LBX150,thick,0.15467358056594338,0.0,0.0,0.15622,-0.15622,0.003,1.506634801642448
LBX200,thick,0.2075811003139078,0.0,0.0,0.20983000000000002,-0.20983000000000002,0.003,1.506634801642448
TBX25.4,thick,0.02577085621870318,0.0,0.0,0.0245,-0.0245,0.009000000000000001,1.506634801642448
TBX50,thick,0.05081537228955749,0.0,0.0,0.0506,-0.0506,0.005200000000000001,1.506634801642448
TBX100,thick,0.10165989706232012,0.0,0.0,0.1024,-0.1024,0.0036000000000000003,1.506634801642448
TBX150,thick,0.1524993809579823,0.0,0.0,0.154,-0.154,0.0031000000000000003,1.506634801642448
TBX200,thick,0.20337317588966383,0.0,0.0,0.2056,-0.2056,0.0028,1.506634801642448
TBX250,thick,0.25416522277447573,0.0,0.0,0.25710000000000005,-0.25710000000000005,0.0026000000000000003,1.506634801642448
TBX300,thick,0.30497402541674185,0.0,0.0,0.30860000000000004,-0.30860000000000004,0.0025,1.506634801642448
TBX400,thick,0.4067070773054311,0.0,0.0,0.4117,-0.4117,0.0024,1.506634801642448
TBX500,thick,0.5083415101130738,0.0,0.0,0.5147,-0.5147,0.0023,1.506634801642448
TBX1000,thick,1.0166791006411449,0.0,0.0,1.0298,-1.0298,0.0022,1.506634801642448
LBVn50,thick,-0.051396990114513964,0.0,0.0,-0.05233,0.05233,0.0015,1.506634801642448
LBVn100,thick,-0.10279436541420633,0.0,0.0,-0.10441,0.10441,0.0015,1.506634801642448
LBVn150,thick,-0.1539256720343762,0.0,0.0,-0.15622,0.15622,0.0015,1.506634801642448
LPVn50,thick,0.05139599552889923,0.0,0.0,inf,-0.026039000000000003,0.0015,1.506634801642448
LPVn100,thick,0.10108267302991616,0.0,0.0,inf,-0.05121200000000001,0.0015,1.506634801642448
LPVn200,thick,0.2060853294355531,0.0,0.0,inf,-0.10441,0.0015,1.506634801642448
LPVn500,thick,0.5139599552889922,0.0,0.0,inf,-0.26039,0.0015,1.506634801642448
LPVn1000,thick,1.032893907610621,0.0,0.0,inf,-0.5233,0.0015,1.506634801642448
LVPn50,thick,0.05139599552889923,0.0,0.0,0.026039000000000003,-inf,0.0015,1.506634801642448
LVPn100,thick,0.10108267302991616,0.0,0.0,0.05121200000000001,-inf,0.0015,1.506634801642448
LVPn200,thick,0.2060853294355531,0.0,0.0,0.10441,-inf,0.0015,1.506634801642448
LVPn500,thick,0.5139599552889922,0.0,0.0,0.26039,-inf,0.0015,1.506634801642448
LVPn1000,thick,1.032893907610621,0.0,0.0,0.5233,-inf,0.0015,1.506634801642448
LPX50,thick,0.05139599552889923,0.0,0.0,inf,-0.026039000000000003,0.005,1.506634801642448
LPX80,thick,0.08145709664281048,0.0,0.0,inf,-0.041269,0.004,1.506634801642448
LPX100,thick,0.10108267302991616,0.0,0.0,inf,-0.05121200000000001,0.004,1.506634801642448
LPX150,thick,0.15454524589737514,0.0,0.0,inf,-0.078298,0.004,1.506634801642448
LPX200,thick,0.20314435499958938,0.0,0.0,inf,-0.10292,0.004,1.506634801642448
LPX300,thick,0.3039467472443332,0.0,0.0,inf,-0.15399000000000002,0.004,1.506634801642448
LPX500,thick,0.5139599552889922,0.0,0.0,inf,-0.26039,0.004,1.506634801642448
LPX1000,thick,1.0035828536682978,0.0,0.0,inf,-0.50845,4e-05,1.506634801642448
LXP50,thick,0.05139599552889923,0.0,0.0,0.026039000000000003,-inf,0.005,1.506634801642448
LXP80,thick,0.08145709664281048,0.0,0.0,0.041269,-inf,0.004,1.506634801642448
LXP100,thick,0.10108267302991616,0.0,0.0,0.05121200000000001,-inf,0.004,1.506634801642448
LXP150,thick,0.15454524589737514,0.0,0.0,0.078298,-inf,0.004,1.506634801642448
LXP200,thick,0.20314435499958938,0.0,0.0,0.10292,-inf,0.004,1.506634801642448
LXP300,thick,0.3039467472443332,0.0,0.0,0.15399000000000002,-inf,0.004,1.506634801642448
LXP500,thick,0.5139599552889922,0.0,0.0,0.26039,-inf,0.004,1.506634801642448
LXP1000,thick,1.0035828536682978,0.0,0.0,0.50845,-inf,4e-05,1.506634801642448
TPX25.3,thick,0.025856889336325507,0.0,0.0,inf,-0.0131,0.0117,1.506634801642448
TPX49.8,thick,0.050924255334137254,0.0,0.0,inf,-0.0258,0.0053,1.506634801642448
TPX99.7,thick,0.10165112983364606,0.0,0.0,inf,-0.051500000000000004,0.0036000000000000003,1.506634801642448
TPX149.5,thick,0.1525753851677833,0.0,0.0,inf,-0.0773,0.0031000000000000003,1.506634801642448
TPX199.3,thick,0.20330225966729212,0.0,0.0,inf,-0.10300000000000001,0.0028,1.506634801642448
TPX299,thick,0.30495338950093814,0.0,0.0,inf,-0.1545,0.0025,1.506634801642448
TXP25.3,thick,0.025856889336325507,0.0,0.0,0.0131,-inf,0.0117,1.506634801642448
TXP49.8,thick,0.050924255334137254,0.0,0.0,0.0258,-inf,0.0053,1.506634801642448
TXP99.7,thick,0.10165112983364606,0.0,0.0,0.051500000000000004,-inf,0.0036000000000000003,1.506634801642448
TXP149.5,thick,0.1525753851677833,0.0,0.0,0.0773,-inf,0.0031000000000000003,1.506634801642448
TXP199.3,thick,0.20330225966729212,0.0,0.0,0.10300000000000001,-inf,0.0028,1.506634801642448
TXP299,thick,0.30495338950093814,0.0,0.0,0.1545,-inf,0.0025,1.506634801642448
