name,type,focal_length,left_margin,right_margin,in_roc,out_roc,thickness,refractive_index
TBX25.4,thick,0.02577085621870318,0.01,0.01,0.0245,-0.0245,0.009000000000000001,1.506634801642448
TBX50,thick,0.05081537228955749,0.01,0.01,0.0506,-0.0506,0.005200000000000001,1.506634801642448
TBX100,thick,0.10165989706232012,0.01,0.01,0.1024,-0.1024,0.0036000000000000003,1.506634801642448
TBX150,thick,0.1524993809579823,0.01,0.01,0.154,-0.154,0.0031000000000000003,1.506634801642448
TBX200,thick,0.20337317588966383,0.01,0.01,0.2056,-0.2056,0.0028,1.506634801642448
TBX250,thick,0.25416522277447573,0.01,0.01,0.25710000000000005,-0.25710000000000005,0.0026000000000000003,1.506634801642448
TBX300,thick,0.30497402541674185,0.01,0.01,0.30860000000000004,-0.30860000000000004,0.0025,1.506634801642448
TBX400,thick,0.4067070773054311,0.01,0.01,0.4117,-0.4117,0.0024,1.506634801642448
TBX500,thick,0.5083415101130738,0.01,0.01,0.5147,-0.5147,0.0023,1.506634801642448
TBX1000,thick,1.0166791006411449,0.01,0.01,1.0298,-1.0298,0.0022,1.506634801642448
